Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL,All-Star,Salary
Jeff Teague,43.6,36.8,87.3,10.9,5.2,2.4,0.3,0.7,0,19000000
Jerami Grant,47.8,38.9,75.0,12.0,1.2,3.5,0.8,0.7,0,9346153
Jeremy Lamb,45.1,33.5,83.6,12.5,2.1,4.3,0.5,1.2,0,10500000
Jerome Robinson,37.1,32.0,70.19999999999999,5.1,1.4,2.0,0.3,0.4,0,3567720
Jevon Carter,41.6,42.5,85.2,4.9,1.4,2.0,0.3,0.8,0,1416852
Jimmy Butler,45.5,24.4,83.39999999999999,19.9,6.0,6.7,0.6,1.8,1,32742000
Joe Harris,48.6,42.4,71.89999999999999,14.5,2.1,4.3,0.2,0.6,0,7666667
Joe Ingles,44.5,39.900000000000006,78.7,9.8,5.2,3.9,0.2,0.9,0,11954546
Joel Embiid,47.699999999999996,33.1,80.7,23.0,3.0,11.6,1.3,0.9,1,27504630
John Collins,58.3,40.1,80.0,21.6,1.5,10.1,1.6,0.8,0,2686560
John Henson,55.60000000000001,22.2,50.0,5.5,1.4,4.1,1.1,0.6,0,9732396
Jonah Bolden,36.4,0.0,50.0,1.4,0.0,1.3,0.3,0.4,0,1698450
Jonathan Isaac,47.0,34.0,77.9,11.9,1.4,6.8,2.3,1.6,0,5806440
Jordan Bell,52.2,33.300000000000004,61.3,3.2,0.6,2.8,0.3,0.1,0,1620564
Jordan Clarkson,45.4,36.8,83.6,15.2,1.9,2.6,0.2,0.6,0,13437500
Jordan McRae,40.699999999999996,35.699999999999996,76.1,11.5,2.5,3.4,0.4,0.6,0,1645357
Jordan Poole,33.300000000000004,27.900000000000002,79.80000000000001,8.8,2.4,2.1,0.2,0.6,0,1964760
Josh Hart,42.3,34.2,73.9,10.1,1.7,6.5,0.4,1.0,0,1655160
Josh Jackson,44.0,31.900000000000002,70.0,9.0,1.6,3.0,0.4,0.8,0,7059480
Josh Okogie,42.699999999999996,26.6,79.60000000000001,8.6,1.6,4.3,0.4,1.1,0,2530680
Josh Richardson,43.0,34.1,80.9,13.7,2.9,3.2,0.7,0.9,0,10116576
Jrue Holiday,45.5,35.3,70.89999999999999,19.1,6.7,4.8,0.8,1.6,0,26231111
Juan Toscano-Anderson,46.0,34.8,60.0,5.3,2.0,4.0,0.4,1.0,0,350189
Julius Randle,46.0,27.700000000000003,73.3,19.5,3.1,9.7,0.3,0.8,0,18000000
Justin Holiday,42.8,40.5,79.10000000000001,8.3,1.3,3.3,0.6,1.2,0,4767000
Justin Jackson,39.6,29.4,84.0,5.5,0.8,2.4,0.2,0.2,0,3280920
Justin James,41.699999999999996,31.0,47.599999999999994,2.5,0.5,0.9,0.3,0.2,0,898310
Justin Patton,40.0,25.0,0.0,1.8,0.4,1.0,0.0,0.0,0,1620564
Justin Robinson,41.699999999999996,60.0,0.0,1.4,0.8,0.6,0.1,0.0,0,898310
Justise Winslow,38.800000000000004,22.2,66.7,11.3,4.0,6.6,0.5,0.6,0,13000000
Juwan Morgan,57.699999999999996,37.5,75.0,1.7,0.3,1.4,0.1,0.0,0,746054
KZ Okpala,60.0,0.0,50.0,1.4,0.2,1.0,0.2,0.4,0,898310
Karl-Anthony Towns,50.8,41.199999999999996,79.60000000000001,26.5,4.4,10.8,1.2,0.9,0,27285000
Kawhi Leonard,47.0,37.8,88.6,27.1,4.9,7.1,0.6,1.8,1,32742000
Keita Bates-Diop,42.699999999999996,33.0,72.0,6.5,0.7,2.9,0.5,0.4,0,1416852
Keldon Johnson,59.599999999999994,59.099999999999994,79.5,9.1,0.9,3.4,0.1,0.8,0,1950600
Kelly Olynyk,46.2,40.6,86.0,8.2,1.7,4.6,0.3,0.7,0,12667885
Kelly Oubre Jr.,45.2,35.199999999999996,78.0,18.7,1.5,6.4,0.7,1.3,0,15625000
Kemba Walker,42.5,38.1,86.4,20.4,4.8,3.9,0.5,0.9,1,32742000
Kendrick Nunn,43.9,35.0,85.0,15.3,3.3,2.7,0.2,0.8,0,1416852
Kenrich Williams,34.699999999999996,25.8,34.599999999999994,3.5,1.5,4.8,0.5,0.7,0,1416852
Kent Bazemore,37.5,34.4,76.9,8.8,1.4,4.3,0.6,1.1,0,19269662
Kentavious Caldwell-Pope,46.7,38.5,77.5,9.3,1.6,2.1,0.2,0.8,0,8089282
Kevin Huerter,41.3,38.0,82.8,12.2,3.8,4.1,0.5,0.9,0,2636280
Kevin Love,45.0,37.4,85.39999999999999,17.6,3.2,9.8,0.3,0.6,0,28942830
Kevin Porter Jr.,44.2,33.5,72.3,10.0,2.2,3.2,0.3,0.9,0,1290960
Kevon Looney,36.7,7.1,75.0,3.4,1.0,3.3,0.3,0.6,0,4464226
Khem Birch,51.0,0.0,65.3,4.4,1.0,4.6,0.5,0.4,0,3000000
Khris Middleton,49.7,41.5,91.60000000000001,20.9,4.3,6.2,0.1,0.9,1,30603448
Khyri Thomas,29.4,35.699999999999996,50.0,2.1,0.4,0.1,0.0,0.4,0,1416852
Kris Dunn,44.4,25.900000000000002,74.1,7.3,3.4,3.6,0.3,2.0,0,5348007
Ky Bowman,41.699999999999996,30.8,82.89999999999999,7.4,2.9,2.7,0.2,1.0,0,350189
Kyle Anderson,47.4,28.199999999999996,66.7,5.8,2.4,4.3,0.6,0.8,0,9073050
Kyle Korver,43.0,41.8,85.39999999999999,6.7,1.2,2.1,0.2,0.4,0,1620564
Kyle Kuzma,43.6,31.6,73.5,12.8,1.3,4.5,0.4,0.5,0,1974600
Kyle Lowry,41.6,35.199999999999996,85.7,19.4,7.5,5.0,0.4,1.4,1,34996296
Kyle O'Quinn,49.4,25.900000000000002,55.00000000000001,3.5,1.8,4.0,0.8,0.2,0,1620564
Kyrie Irving,47.8,39.4,92.2,27.4,6.4,5.2,0.5,1.4,0,31742000
LaMarcus Aldridge,49.3,38.9,82.69999999999999,18.9,2.4,7.4,1.6,0.7,0,26000000
Lance Thomas,34.8,30.8,100.0,3.4,0.9,1.9,0.0,0.0,0,7119650
Landry Shamet,40.400000000000006,37.5,85.5,9.3,1.9,1.9,0.2,0.4,0,1995120
Langston Galloway,43.5,39.900000000000006,85.9,10.3,1.5,2.3,0.2,0.7,0,7333333
Larry Nance Jr.,53.1,35.199999999999996,67.60000000000001,10.1,2.2,7.3,0.4,1.0,0,12727273
Lauri Markkanen,42.5,34.4,82.39999999999999,14.7,1.5,6.3,0.5,0.8,0,5300400
LeBron James,49.3,34.8,69.3,25.3,10.2,7.8,0.5,1.2,1,37436858
