Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
JaMychal Green,42.9,38.7,75.0,6.8,0.8,6.2,0.4,0.5
Javonte Green,50.0,27.3,66.7,3.4,0.5,1.9,0.2,0.5
Jeff Green,46.2,33.900000000000006,80.2,9.4,1.0,2.8,0.4,0.5
Blake Griffin,35.199999999999996,24.3,77.60000000000001,15.5,3.3,4.7,0.4,0.4
Marko Guduric,39.5,30.099999999999998,92.30000000000001,3.9,1.0,1.7,0.2,0.3
Kyle Guy,40.0,0.0,0.0,1.3,0.3,0.3,0.0,0.0
Rui Hachimura,46.6,28.7,82.89999999999999,13.5,1.8,6.1,0.2,0.8
Devon Hall,20.0,23.5,50.0,1.8,1.2,0.6,0.1,0.4
Donta Hall,68.2,0.0,50.0,4.3,0.4,4.2,0.7,0.3
Dusty Hannahs,44.4,66.7,100.0,6.0,0.0,0.5,0.0,0.0
Tim Hardaway Jr.,43.4,39.800000000000004,81.89999999999999,15.8,1.9,3.3,0.1,0.6
James Harden,44.4,35.5,86.5,34.3,7.5,6.6,0.9,1.8
Maurice Harkless,50.2,34.699999999999996,59.099999999999994,5.8,1.1,3.9,0.5,0.9
Jared Harper,25.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
Montrezl Harrell,57.99999999999999,0.0,65.8,18.6,1.7,7.1,1.1,0.6
Gary Harris,42.0,33.300000000000004,81.5,10.4,2.1,2.9,0.3,1.4
Joe Harris,48.6,42.4,71.89999999999999,14.5,2.1,4.3,0.2,0.6
Tobias Harris,47.099999999999994,36.7,80.60000000000001,19.6,3.2,6.9,0.6,0.7
Shaquille Harrison,46.7,38.1,78.0,4.9,1.1,2.0,0.4,0.8
Josh Hart,42.3,34.2,73.9,10.1,1.7,6.5,0.4,1.0
Isaiah Hartenstein,65.7,0.0,67.9,4.7,0.8,3.9,0.5,0.4
Udonis Haslem,36.4,33.300000000000004,75.0,3.0,0.3,4.0,0.0,0.0
Jaxson Hayes,67.2,25.0,64.7,7.4,0.9,4.0,0.9,0.4
Gordon Hayward,50.0,38.3,85.5,17.5,4.1,6.7,0.4,0.7
John Henson,55.60000000000001,22.2,50.0,5.5,1.4,4.1,1.1,0.6
Dewan Hernandez,35.699999999999996,50.0,60.0,2.3,0.5,2.3,0.0,0.2
Juancho Hernangómez,40.5,34.1,62.0,6.0,0.8,4.1,0.2,0.4
Willy Hernangómez,53.2,22.7,62.7,6.1,0.9,4.3,0.2,0.3
Tyler Herro,42.8,38.9,87.0,13.5,2.2,4.1,0.2,0.6
Kevin Hervey,25.900000000000002,15.0,0.0,1.7,0.5,1.2,0.1,0.1
Mario Hezonja,42.199999999999996,30.8,81.39999999999999,4.8,0.9,3.5,0.2,0.7
Buddy Hield,42.9,39.4,84.6,19.2,3.0,4.6,0.2,0.9
George Hill,51.6,46.0,84.2,9.4,3.1,3.0,0.1,0.8
Solomon Hill,39.6,36.8,74.1,5.5,1.8,2.8,0.2,0.7
Jaylen Hoard,46.9,0.0,61.5,2.9,0.3,2.5,0.0,0.4
Aaron Holiday,41.4,39.4,85.1,9.5,3.4,2.4,0.2,0.8
Jrue Holiday,45.5,35.3,70.89999999999999,19.1,6.7,4.8,0.8,1.6
Justin Holiday,42.8,40.5,79.10000000000001,8.3,1.3,3.3,0.6,1.2
Rondae Hollis-Jefferson,47.099999999999994,13.0,73.4,7.0,1.8,4.7,0.4,0.8
Richaun Holmes,64.8,0.0,78.8,12.3,1.0,8.1,1.3,0.9
Rodney Hood,50.6,49.3,77.8,11.0,1.5,3.4,0.2,0.8
Al Horford,45.0,35.0,76.3,11.9,4.0,6.8,0.9,0.8
Talen Horton-Tucker,46.7,30.8,50.0,5.7,1.0,1.2,0.2,1.3
Danuel House Jr.,42.699999999999996,36.3,81.10000000000001,10.5,1.3,4.2,0.5,1.1
Dwight Howard,72.89999999999999,60.0,51.4,7.5,0.7,7.3,1.1,0.4
William Howard,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
Kevin Huerter,41.3,38.0,82.8,12.2,3.8,4.1,0.5,0.9
De'Andre Hunter,41.0,35.5,76.4,12.3,1.8,4.5,0.3,0.7
